,FVMC_Rewards1,FVMC_noSteps1,FVMC_Accuracy1,Moving_Average_Accuracy1,Moving_Average_Step1,Moving_Average_Reward1,Overall_Accuracy,Overall_Steps,MC Overall_Reward
0,-1,4,0,0,4,-1,0,4,-1
1,-1,12,0,0,8,-1,0,8,-1
2,-1,8,0,0,8,-1,0,8,-1
3,-1,449,0,0,118.25,-1,0,118.25,-1
4,-1,541,0,0,202.8,-1,0,202.8,-1
5,-1,58,0,0,178.6666667,-1,0,178.6666667,-1
6,-1,219,0,0,184.4285714,-1,0,184.4285714,-1
7,-1,2049,0,0,417.5,-1,0,417.5,-1
8,-1,162,0,0,389.1111111,-1,0,389.1111111,-1
9,-1,417,0,0,391.9,-1,0,391.9,-1
10,-1,340,0,0,387.1818182,-1,0,387.1818182,-1
11,-1,756,0,0,417.9166667,-1,0,417.9166667,-1
12,-1,541,0,0,427.3846154,-1,0,427.3846154,-1
13,-1,2975,0,0,609.3571429,-1,0,609.3571429,-1
14,-1,453,0,0,598.9333333,-1,0,598.9333333,-1
15,-1,373,0,0,584.8125,-1,0,584.8125,-1
16,-1,290,0,0,567.4705882,-1,0,567.4705882,-1
17,-1,1182,0,0,601.6111111,-1,0,601.6111111,-1
18,-1,443,0,0,593.2631579,-1,0,593.2631579,-1
19,-1,592,0,0,593.2,-1,0,593.2,-1
20,-1,1400,0,0,631.6190476,-1,0,631.6190476,-1
21,-1,270,0,0,615.1818182,-1,0,615.1818182,-1
22,-1,311,0,0,601.9565217,-1,0,601.9565217,-1
23,-1,1513,0,0,639.9166667,-1,0,639.9166667,-1
24,-1,710,0,0,642.72,-1,0,642.72,-1
25,1,68,1,0.038461538,620.6153846,-0.923076923,0.038461538,620.6153846,-0.923076923
26,-1,366,0,0.037037037,611.1851852,-0.925925926,0.037037037,611.1851852,-0.925925926
27,-1,1915,0,0.035714286,657.75,-0.928571429,0.035714286,657.75,-0.928571429
28,-1,339,0,0.034482759,646.7586207,-0.931034483,0.034482759,646.7586207,-0.931034483
29,-1,960,0,0.033333333,657.2,-0.933333333,0.033333333,657.2,-0.933333333
30,-1,392,0,0.032258065,648.6451613,-0.935483871,0.032258065,648.6451613,-0.935483871
31,-1,1016,0,0.03125,660.125,-0.9375,0.03125,660.125,-0.9375
32,-1,1127,0,0.03030303,674.2727273,-0.939393939,0.03030303,674.2727273,-0.939393939
33,-1,466,0,0.029411765,668.1470588,-0.941176471,0.029411765,668.1470588,-0.941176471
34,-1,50,0,0.028571429,650.4857143,-0.942857143,0.028571429,650.4857143,-0.942857143
35,-1,1146,0,0.027777778,664.25,-0.944444444,0.027777778,664.25,-0.944444444
36,-1,868,0,0.027027027,669.7567568,-0.945945946,0.027027027,669.7567568,-0.945945946
37,-1,1087,0,0.026315789,680.7368421,-0.947368421,0.026315789,680.7368421,-0.947368421
38,-1,208,0,0.025641026,668.6153846,-0.948717949,0.025641026,668.6153846,-0.948717949
39,-1,43,0,0.025,652.975,-0.95,0.025,652.975,-0.95
40,1,530,1,0.048780488,649.9756098,-0.902439024,0.048780488,649.9756098,-0.902439024
41,-1,255,0,0.047619048,640.5714286,-0.904761905,0.047619048,640.5714286,-0.904761905
42,-1,85,0,0.046511628,627.6511628,-0.906976744,0.046511628,627.6511628,-0.906976744
43,1,215,1,0.068181818,618.2727273,-0.863636364,0.068181818,618.2727273,-0.863636364
44,1,116,1,0.088888889,607.1111111,-0.822222222,0.088888889,607.1111111,-0.822222222
45,1,68,1,0.108695652,595.3913043,-0.782608696,0.108695652,595.3913043,-0.782608696
46,1,94,1,0.127659574,584.7234043,-0.744680851,0.127659574,584.7234043,-0.744680851
47,1,27,1,0.145833333,573.1041667,-0.708333333,0.145833333,573.1041667,-0.708333333
48,1,5,1,0.163265306,561.5102041,-0.673469388,0.163265306,561.5102041,-0.673469388
49,1,7,1,0.18,550.42,-0.64,0.18,550.42,-0.64
50,1,5,1,0.196078431,539.7254902,-0.607843137,0.196078431,539.7254902,-0.607843137
51,-1,1,0,0.192307692,529.3653846,-0.615384615,0.192307692,529.3653846,-0.615384615
52,1,5,1,0.20754717,519.4716981,-0.58490566,0.20754717,519.4716981,-0.58490566
53,1,5,1,0.222222222,509.9444444,-0.555555556,0.222222222,509.9444444,-0.555555556
54,1,5,1,0.236363636,500.7636364,-0.527272727,0.236363636,500.7636364,-0.527272727
55,1,5,1,0.25,491.9107143,-0.5,0.25,491.9107143,-0.5
56,1,5,1,0.263157895,483.3684211,-0.473684211,0.263157895,483.3684211,-0.473684211
57,1,7,1,0.275862069,475.1551724,-0.448275862,0.275862069,475.1551724,-0.448275862
