,Q_Rewards1,Q_noSteps1,Q_Accuracy1,Q_Rewards2,Q_noSteps2,Q_Accuracy2,Q_Rewards3,Q_noSteps3,Q_Accuracy3,Q_Rewards4,Q_noSteps4,Q_Accuracy4,Q_Rewards5,Q_noSteps5,Q_Accuracy5,Moving_Average_Accuracy1,Moving_Average_Step1,Moving_Average_Reward1,Moving_Average_Accuracy2,Moving_Average_Step2,Moving_Average_Reward2,Moving_Average_Accuracy3,Moving_Average_Step3,Moving_Average_Reward3,Moving_Average_Accuracy4,Moving_Average_Step4,Moving_Average_Reward4,Moving_Average_Accuracy5,Moving_Average_Step5,Moving_Average_Reward5,Overall_Accuracy,Overall_Steps,Overall_Reward
0,-1,98,0,-1,146,0,-1,62,0,-1,83,0,-1,134,0,0.0,98.0,-1.0,0.0,146.0,-1.0,0.0,62.0,-1.0,0.0,83.0,-1.0,0.0,134.0,-1.0,0.0,104.6,-1.0
1,-1,104,0,-1,109,0,-1,115,0,-1,34,0,-1,58,0,0.0,101.0,-1.0,0.0,127.5,-1.0,0.0,88.5,-1.0,0.0,58.5,-1.0,0.0,96.0,-1.0,0.0,94.3,-1.0
2,-1,46,0,-1,63,0,-1,99,0,-1,95,0,-1,91,0,0.0,82.66666666666667,-1.0,0.0,106.0,-1.0,0.0,92.0,-1.0,0.0,70.66666666666667,-1.0,0.0,94.33333333333333,-1.0,0.0,89.13333333333334,-1.0
3,-1,196,0,-1,4,0,-1,4,0,-1,16,0,-1,137,0,0.0,111.0,-1.0,0.0,80.5,-1.0,0.0,70.0,-1.0,0.0,57.0,-1.0,0.0,105.0,-1.0,0.0,84.7,-1.0
4,-1,140,0,-1,122,0,-1,236,0,-1,47,0,-1,86,0,0.0,116.8,-1.0,0.0,88.8,-1.0,0.0,103.2,-1.0,0.0,55.0,-1.0,0.0,101.2,-1.0,0.0,93.0,-1.0
5,-1,293,0,-1,162,0,-1,158,0,-1,130,0,-1,173,0,0.0,146.16666666666666,-1.0,0.0,101.0,-1.0,0.0,112.33333333333333,-1.0,0.0,67.5,-1.0,0.0,113.16666666666667,-1.0,0.0,108.03333333333333,-1.0
6,-1,84,0,-1,68,0,-1,48,0,-1,56,0,-1,94,0,0.0,137.28571428571428,-1.0,0.0,96.28571428571429,-1.0,0.0,103.14285714285714,-1.0,0.0,65.85714285714286,-1.0,0.0,110.42857142857143,-1.0,0.0,102.6,-1.0
7,-1,65,0,-1,31,0,-1,371,0,-1,134,0,-1,87,0,0.0,128.25,-1.0,0.0,88.125,-1.0,0.0,136.625,-1.0,0.0,74.375,-1.0,0.0,107.5,-1.0,0.0,106.975,-1.0
8,-1,264,0,-1,227,0,-1,114,0,-1,140,0,-1,149,0,0.0,143.33333333333334,-1.0,0.0,103.55555555555556,-1.0,0.0,134.11111111111111,-1.0,0.0,81.66666666666667,-1.0,0.0,112.11111111111111,-1.0,0.0,114.95555555555556,-1.0
9,-1,75,0,-1,34,0,-1,66,0,-1,14,0,-1,323,0,0.0,136.5,-1.0,0.0,96.6,-1.0,0.0,127.3,-1.0,0.0,74.9,-1.0,0.0,133.2,-1.0,0.0,113.7,-1.0
10,-1,177,0,-1,33,0,-1,325,0,-1,192,0,-1,20,0,0.0,140.1818181818182,-1.0,0.0,90.81818181818181,-1.0,0.0,145.27272727272728,-1.0,0.0,85.54545454545455,-1.0,0.0,122.9090909090909,-1.0,0.0,116.94545454545455,-1.0
11,-1,67,0,-1,33,0,-1,46,0,-1,453,0,-1,100,0,0.0,134.08333333333334,-1.0,0.0,86.0,-1.0,0.0,137.0,-1.0,0.0,116.16666666666667,-1.0,0.0,121.0,-1.0,0.0,118.85,-1.0
12,-1,30,0,-1,91,0,-1,326,0,-1,37,0,-1,43,0,0.0,126.07692307692308,-1.0,0.0,86.38461538461539,-1.0,0.0,151.53846153846155,-1.0,0.0,110.07692307692308,-1.0,0.0,115.0,-1.0,0.0,117.81538461538462,-1.0
13,-1,19,0,-1,12,0,-1,40,0,-1,110,0,-1,199,0,0.0,118.42857142857143,-1.0,0.0,81.07142857142857,-1.0,0.0,143.57142857142858,-1.0,0.0,110.07142857142857,-1.0,0.0,121.0,-1.0,0.0,114.82857142857142,-1.0
14,-1,25,0,-1,308,0,-1,38,0,-1,22,0,-1,32,0,0.0,112.2,-1.0,0.0,96.2,-1.0,0.0,136.53333333333333,-1.0,0.0,104.2,-1.0,0.0,115.06666666666666,-1.0,0.0,112.84,-1.0
15,-1,66,0,-1,428,0,-1,67,0,-1,94,0,-1,10,0,0.0,109.3125,-1.0,0.0,116.9375,-1.0,0.0,132.1875,-1.0,0.0,103.5625,-1.0,0.0,108.5,-1.0,0.0,114.1,-1.0
16,-1,20,0,-1,23,0,-1,72,0,-1,26,0,-1,10,0,0.0,104.05882352941177,-1.0,0.0,111.41176470588235,-1.0,0.0,128.64705882352942,-1.0,0.0,99.0,-1.0,0.0,102.70588235294117,-1.0,0.0,109.16470588235295,-1.0
17,-1,102,0,-1,110,0,-1,54,0,-1,13,0,-1,103,0,0.0,103.94444444444444,-1.0,0.0,111.33333333333333,-1.0,0.0,124.5,-1.0,0.0,94.22222222222223,-1.0,0.0,102.72222222222223,-1.0,0.0,107.34444444444443,-1.0
18,-1,195,0,-1,56,0,-1,59,0,-1,19,0,-1,85,0,0.0,108.73684210526316,-1.0,0.0,108.42105263157895,-1.0,0.0,121.05263157894737,-1.0,0.0,90.26315789473684,-1.0,0.0,101.78947368421052,-1.0,0.0,106.05263157894737,-1.0
19,-1,121,0,-1,54,0,-1,47,0,-1,58,0,-1,53,0,0.0,109.35,-1.0,0.0,105.7,-1.0,0.0,117.35,-1.0,0.0,88.65,-1.0,0.0,99.35,-1.0,0.0,104.08,-1.0
20,-1,462,0,-1,135,0,-1,19,0,-1,279,0,-1,18,0,0.0,126.14285714285714,-1.0,0.0,107.0952380952381,-1.0,0.0,112.66666666666667,-1.0,0.0,97.71428571428571,-1.0,0.0,95.47619047619048,-1.0,0.0,107.81904761904761,-1.0
21,-1,49,0,-1,115,0,-1,107,0,-1,367,0,-1,121,0,0.0,122.63636363636364,-1.0,0.0,107.45454545454545,-1.0,0.0,112.4090909090909,-1.0,0.0,109.95454545454545,-1.0,0.0,96.63636363636364,-1.0,0.0,109.81818181818183,-1.0
22,-1,94,0,-1,61,0,-1,56,0,-1,28,0,-1,52,0,0.0,121.3913043478261,-1.0,0.0,105.43478260869566,-1.0,0.0,109.95652173913044,-1.0,0.0,106.3913043478261,-1.0,0.0,94.69565217391305,-1.0,0.0,107.57391304347826,-1.0
23,-1,39,0,-1,21,0,-1,40,0,-1,204,0,-1,63,0,0.0,117.95833333333333,-1.0,0.0,101.91666666666667,-1.0,0.0,107.04166666666667,-1.0,0.0,110.45833333333333,-1.0,0.0,93.375,-1.0,0.0,106.15,-1.0
24,-1,71,0,-1,57,0,-1,161,0,-1,153,0,-1,47,0,0.0,116.08,-1.0,0.0,100.12,-1.0,0.0,109.2,-1.0,0.0,112.16,-1.0,0.0,91.52,-1.0,0.0,105.81599999999999,-1.0
25,-1,106,0,-1,7,0,-1,126,0,-1,59,0,-1,117,0,0.0,115.6923076923077,-1.0,0.0,96.53846153846153,-1.0,0.0,109.84615384615384,-1.0,0.0,110.11538461538461,-1.0,0.0,92.5,-1.0,0.0,104.93846153846155,-1.0
26,-1,51,0,-1,79,0,-1,69,0,-1,146,0,-1,136,0,0.0,113.29629629629629,-1.0,0.0,95.88888888888889,-1.0,0.0,108.33333333333333,-1.0,0.0,111.44444444444444,-1.0,0.0,94.11111111111111,-1.0,0.0,104.6148148148148,-1.0
