,Q_Rewards1,Q_noSteps1,Q_Accuracy1,Moving_Average_Accuracy1,Moving_Average_Step1,Moving_Average_Reward1,Overall_Accuracy,Overall_Steps,Overall_Reward
0,-1,24,0,0.0,24.0,-1.0,0.0,24.0,-1.0
1,-1,21,0,0.0,22.5,-1.0,0.0,22.5,-1.0
2,-1,6,0,0.0,17.0,-1.0,0.0,17.0,-1.0
3,-1,15,0,0.0,16.5,-1.0,0.0,16.5,-1.0
4,-1,162,0,0.0,45.6,-1.0,0.0,45.6,-1.0
5,-1,214,0,0.0,73.66666666666667,-1.0,0.0,73.66666666666667,-1.0
6,-1,41,0,0.0,69.0,-1.0,0.0,69.0,-1.0
7,-1,48,0,0.0,66.375,-1.0,0.0,66.375,-1.0
8,-1,121,0,0.0,72.44444444444444,-1.0,0.0,72.44444444444444,-1.0
9,-1,323,0,0.0,97.5,-1.0,0.0,97.5,-1.0
10,-1,31,0,0.0,91.45454545454545,-1.0,0.0,91.45454545454545,-1.0
11,-1,36,0,0.0,86.83333333333333,-1.0,0.0,86.83333333333333,-1.0
12,-1,43,0,0.0,83.46153846153847,-1.0,0.0,83.46153846153847,-1.0
13,-1,71,0,0.0,82.57142857142857,-1.0,0.0,82.57142857142857,-1.0
14,-1,385,0,0.0,102.73333333333333,-1.0,0.0,102.73333333333333,-1.0
15,-1,63,0,0.0,100.25,-1.0,0.0,100.25,-1.0
16,-1,210,0,0.0,106.70588235294117,-1.0,0.0,106.70588235294117,-1.0
17,-1,119,0,0.0,107.38888888888889,-1.0,0.0,107.38888888888889,-1.0
18,-1,155,0,0.0,109.89473684210526,-1.0,0.0,109.89473684210526,-1.0
19,-1,226,0,0.0,115.7,-1.0,0.0,115.7,-1.0
20,-1,337,0,0.0,126.23809523809524,-1.0,0.0,126.23809523809524,-1.0
21,-1,262,0,0.0,132.4090909090909,-1.0,0.0,132.4090909090909,-1.0
22,-1,54,0,0.0,129.0,-1.0,0.0,129.0,-1.0
23,-1,266,0,0.0,134.70833333333334,-1.0,0.0,134.70833333333334,-1.0
24,-1,236,0,0.0,138.76,-1.0,0.0,138.76,-1.0
25,-1,685,0,0.0,159.76923076923077,-1.0,0.0,159.76923076923077,-1.0
26,-1,49,0,0.0,155.66666666666666,-1.0,0.0,155.66666666666666,-1.0
27,-1,250,0,0.0,159.03571428571428,-1.0,0.0,159.03571428571428,-1.0
28,-1,85,0,0.0,156.48275862068965,-1.0,0.0,156.48275862068965,-1.0
29,-1,194,0,0.0,157.73333333333332,-1.0,0.0,157.73333333333332,-1.0
30,-1,67,0,0.0,154.80645161290323,-1.0,0.0,154.80645161290323,-1.0
31,-1,180,0,0.0,155.59375,-1.0,0.0,155.59375,-1.0
32,-1,716,0,0.0,172.57575757575756,-1.0,0.0,172.57575757575756,-1.0
33,-1,173,0,0.0,172.58823529411765,-1.0,0.0,172.58823529411765,-1.0
34,-1,354,0,0.0,177.77142857142857,-1.0,0.0,177.77142857142857,-1.0
35,-1,63,0,0.0,174.58333333333334,-1.0,0.0,174.58333333333334,-1.0
36,-1,87,0,0.0,172.21621621621622,-1.0,0.0,172.21621621621622,-1.0
37,-1,331,0,0.0,176.39473684210526,-1.0,0.0,176.39473684210526,-1.0
38,-1,339,0,0.0,180.56410256410257,-1.0,0.0,180.56410256410257,-1.0
39,-1,322,0,0.0,184.1,-1.0,0.0,184.1,-1.0
40,-1,553,0,0.0,193.09756097560975,-1.0,0.0,193.09756097560975,-1.0
41,-1,1317,0,0.0,219.85714285714286,-1.0,0.0,219.85714285714286,-1.0
42,-1,96,0,0.0,216.97674418604652,-1.0,0.0,216.97674418604652,-1.0
43,-1,143,0,0.0,215.29545454545453,-1.0,0.0,215.29545454545453,-1.0
44,-1,490,0,0.0,221.4,-1.0,0.0,221.4,-1.0
45,-1,312,0,0.0,223.3695652173913,-1.0,0.0,223.3695652173913,-1.0
46,-1,264,0,0.0,224.2340425531915,-1.0,0.0,224.2340425531915,-1.0
47,-1,335,0,0.0,226.54166666666666,-1.0,0.0,226.54166666666666,-1.0
48,-1,356,0,0.0,229.18367346938774,-1.0,0.0,229.18367346938774,-1.0
49,-1,397,0,0.0,232.54,-1.0,0.0,232.54,-1.0
50,-1,760,0,0.0,242.88235294117646,-1.0,0.0,242.88235294117646,-1.0
51,-1,231,0,0.0,242.65384615384616,-1.0,0.0,242.65384615384616,-1.0
52,-1,88,0,0.0,239.73584905660377,-1.0,0.0,239.73584905660377,-1.0
53,-1,573,0,0.0,245.90740740740742,-1.0,0.0,245.90740740740742,-1.0
54,-1,323,0,0.0,247.3090909090909,-1.0,0.0,247.3090909090909,-1.0
55,-1,602,0,0.0,253.64285714285714,-1.0,0.0,253.64285714285714,-1.0
56,-1,108,0,0.0,251.08771929824562,-1.0,0.0,251.08771929824562,-1.0
57,-1,283,0,0.0,251.63793103448276,-1.0,0.0,251.63793103448276,-1.0
58,-1,298,0,0.0,252.42372881355934,-1.0,0.0,252.42372881355934,-1.0
59,-1,171,0,0.0,251.06666666666666,-1.0,0.0,251.06666666666666,-1.0
60,-1,88,0,0.0,248.39344262295083,-1.0,0.0,248.39344262295083,-1.0
61,-1,1363,0,0.0,266.3709677419355,-1.0,0.0,266.3709677419355,-1.0
62,-1,520,0,0.0,270.3968253968254,-1.0,0.0,270.3968253968254,-1.0
63,-1,100,0,0.0,267.734375,-1.0,0.0,267.734375,-1.0
64,-1,465,0,0.0,270.7692307692308,-1.0,0.0,270.7692307692308,-1.0
65,-1,129,0,0.0,268.6212121212121,-1.0,0.0,268.6212121212121,-1.0
66,-1,1341,0,0.0,284.6268656716418,-1.0,0.0,284.6268656716418,-1.0
67,-1,956,0,0.0,294.5,-1.0,0.0,294.5,-1.0
68,-1,942,0,0.0,303.8840579710145,-1.0,0.0,303.8840579710145,-1.0
69,-1,15,0,0.0,299.75714285714287,-1.0,0.0,299.75714285714287,-1.0
70,-1,1066,0,0.0,310.5492957746479,-1.0,0.0,310.5492957746479,-1.0
71,-1,564,0,0.0,314.06944444444446,-1.0,0.0,314.06944444444446,-1.0
72,-1,211,0,0.0,312.6575342465753,-1.0,0.0,312.6575342465753,-1.0
73,-1,641,0,0.0,317.0945945945946,-1.0,0.0,317.0945945945946,-1.0
74,-1,210,0,0.0,315.6666666666667,-1.0,0.0,315.6666666666667,-1.0
75,-1,332,0,0.0,315.88157894736844,-1.0,0.0,315.88157894736844,-1.0
76,-1,2199,0,0.0,340.3376623376623,-1.0,0.0,340.3376623376623,-1.0
77,-1,297,0,0.0,339.78205128205127,-1.0,0.0,339.78205128205127,-1.0
78,-1,343,0,0.0,339.82278481012656,-1.0,0.0,339.82278481012656,-1.0
79,-1,317,0,0.0,339.5375,-1.0,0.0,339.5375,-1.0
80,-1,1864,0,0.0,358.358024691358,-1.0,0.0,358.358024691358,-1.0
81,-1,636,0,0.0,361.7439024390244,-1.0,0.0,361.7439024390244,-1.0
82,-1,545,0,0.0,363.95180722891564,-1.0,0.0,363.95180722891564,-1.0
83,-1,481,0,0.0,365.3452380952381,-1.0,0.0,365.3452380952381,-1.0
84,-1,743,0,0.0,369.78823529411767,-1.0,0.0,369.78823529411767,-1.0
85,-1,147,0,0.0,367.19767441860466,-1.0,0.0,367.19767441860466,-1.0
86,-1,362,0,0.0,367.13793103448273,-1.0,0.0,367.13793103448273,-1.0
87,-1,461,0,0.0,368.20454545454544,-1.0,0.0,368.20454545454544,-1.0
88,-1,828,0,0.0,373.3707865168539,-1.0,0.0,373.3707865168539,-1.0
89,-1,327,0,0.0,372.85555555555555,-1.0,0.0,372.85555555555555,-1.0
90,-1,889,0,0.0,378.5274725274725,-1.0,0.0,378.5274725274725,-1.0
91,-1,865,0,0.0,383.8152173913044,-1.0,0.0,383.8152173913044,-1.0
92,-1,3120,0,0.0,413.23655913978496,-1.0,0.0,413.23655913978496,-1.0
93,-1,651,0,0.0,415.7659574468085,-1.0,0.0,415.7659574468085,-1.0
94,-1,2838,0,0.0,441.2631578947368,-1.0,0.0,441.2631578947368,-1.0
95,-1,1599,0,0.0,453.3229166666667,-1.0,0.0,453.3229166666667,-1.0
96,-1,850,0,0.0,457.41237113402065,-1.0,0.0,457.41237113402065,-1.0
97,-1,2229,0,0.0,475.48979591836735,-1.0,0.0,475.48979591836735,-1.0
98,-1,2291,0,0.0,493.82828282828285,-1.0,0.0,493.82828282828285,-1.0
99,-1,1150,0,0.0,500.39,-1.0,0.0,500.39,-1.0
100,-1,314,0,0.0,503.29,-1.0,0.0,503.29,-1.0
101,-1,1139,0,0.0,514.47,-1.0,0.0,514.47,-1.0
102,-1,1099,0,0.0,525.4,-1.0,0.0,525.4,-1.0
103,-1,680,0,0.0,532.05,-1.0,0.0,532.05,-1.0
104,-1,425,0,0.0,534.68,-1.0,0.0,534.68,-1.0
105,-1,303,0,0.0,535.57,-1.0,0.0,535.57,-1.0
106,-1,6228,0,0.0,597.44,-1.0,0.0,597.44,-1.0
107,-1,834,0,0.0,605.3,-1.0,0.0,605.3,-1.0
108,-1,1307,0,0.0,617.16,-1.0,0.0,617.16,-1.0
109,-1,437,0,0.0,618.3,-1.0,0.0,618.3,-1.0
110,-1,711,0,0.0,625.1,-1.0,0.0,625.1,-1.0
111,-1,2682,0,0.0,651.56,-1.0,0.0,651.56,-1.0
112,-1,2443,0,0.0,675.56,-1.0,0.0,675.56,-1.0
113,-1,758,0,0.0,682.43,-1.0,0.0,682.43,-1.0
114,-1,1551,0,0.0,694.09,-1.0,0.0,694.09,-1.0
115,-1,2759,0,0.0,721.05,-1.0,0.0,721.05,-1.0
116,-1,452,0,0.0,723.47,-1.0,0.0,723.47,-1.0
117,-1,446,0,0.0,726.74,-1.0,0.0,726.74,-1.0
118,-1,2308,0,0.0,748.27,-1.0,0.0,748.27,-1.0
119,-1,974,0,0.0,755.75,-1.0,0.0,755.75,-1.0
120,-1,419,0,0.0,756.57,-1.0,0.0,756.57,-1.0
121,-1,4865,0,0.0,802.6,-1.0,0.0,802.6,-1.0
122,-1,866,0,0.0,810.72,-1.0,0.0,810.72,-1.0
123,-1,875,0,0.0,816.81,-1.0,0.0,816.81,-1.0
124,-1,1430,0,0.0,828.75,-1.0,0.0,828.75,-1.0
125,-1,278,0,0.0,824.68,-1.0,0.0,824.68,-1.0
126,-1,1007,0,0.0,834.26,-1.0,0.0,834.26,-1.0
127,-1,1166,0,0.0,843.42,-1.0,0.0,843.42,-1.0
128,-1,1832,0,0.0,860.89,-1.0,0.0,860.89,-1.0
129,-1,1707,0,0.0,876.02,-1.0,0.0,876.02,-1.0
130,-1,520,0,0.0,880.55,-1.0,0.0,880.55,-1.0
131,-1,4616,0,0.0,924.91,-1.0,0.0,924.91,-1.0
132,-1,1149,0,0.0,929.24,-1.0,0.0,929.24,-1.0
133,-1,1602,0,0.0,943.53,-1.0,0.0,943.53,-1.0
134,-1,1082,0,0.0,950.81,-1.0,0.0,950.81,-1.0
135,-1,1309,0,0.0,963.27,-1.0,0.0,963.27,-1.0
136,-1,5683,0,0.0,1019.23,-1.0,0.0,1019.23,-1.0
137,-1,796,0,0.0,1023.88,-1.0,0.0,1023.88,-1.0
138,-1,1753,0,0.0,1038.02,-1.0,0.0,1038.02,-1.0
139,-1,2268,0,0.0,1057.48,-1.0,0.0,1057.48,-1.0
140,-1,4673,0,0.0,1098.68,-1.0,0.0,1098.68,-1.0
141,-1,862,0,0.0,1094.13,-1.0,0.0,1094.13,-1.0
142,-1,2350,0,0.0,1116.67,-1.0,0.0,1116.67,-1.0
143,-1,640,0,0.0,1121.64,-1.0,0.0,1121.64,-1.0
144,-1,452,0,0.0,1121.26,-1.0,0.0,1121.26,-1.0
145,-1,624,0,0.0,1124.38,-1.0,0.0,1124.38,-1.0
146,-1,2679,0,0.0,1148.53,-1.0,0.0,1148.53,-1.0
147,-1,3830,0,0.0,1183.48,-1.0,0.0,1183.48,-1.0
148,-1,2089,0,0.0,1200.81,-1.0,0.0,1200.81,-1.0
149,-1,1044,0,0.0,1207.28,-1.0,0.0,1207.28,-1.0
150,-1,164,0,0.0,1201.32,-1.0,0.0,1201.32,-1.0
151,-1,1355,0,0.0,1212.56,-1.0,0.0,1212.56,-1.0
152,-1,1359,0,0.0,1225.27,-1.0,0.0,1225.27,-1.0
153,-1,339,0,0.0,1222.93,-1.0,0.0,1222.93,-1.0
154,-1,396,0,0.0,1223.66,-1.0,0.0,1223.66,-1.0
155,-1,1547,0,0.0,1233.11,-1.0,0.0,1233.11,-1.0
156,-1,2549,0,0.0,1257.52,-1.0,0.0,1257.52,-1.0
157,-1,397,0,0.0,1258.66,-1.0,0.0,1258.66,-1.0
158,-1,1448,0,0.0,1270.16,-1.0,0.0,1270.16,-1.0
159,-1,1572,0,0.0,1284.17,-1.0,0.0,1284.17,-1.0
160,-1,1403,0,0.0,1297.32,-1.0,0.0,1297.32,-1.0
161,-1,3403,0,0.0,1317.72,-1.0,0.0,1317.72,-1.0
162,-1,1017,0,0.0,1322.69,-1.0,0.0,1322.69,-1.0
163,-1,1248,0,0.0,1334.17,-1.0,0.0,1334.17,-1.0
164,-1,1916,0,0.0,1348.68,-1.0,0.0,1348.68,-1.0
165,-1,3255,0,0.0,1379.94,-1.0,0.0,1379.94,-1.0
166,-1,1324,0,0.0,1379.77,-1.0,0.0,1379.77,-1.0
167,-1,436,0,0.0,1374.57,-1.0,0.0,1374.57,-1.0
168,-1,1329,0,0.0,1378.44,-1.0,0.0,1378.44,-1.0
169,-1,1300,0,0.0,1391.29,-1.0,0.0,1391.29,-1.0
170,-1,120,0,0.0,1381.83,-1.0,0.0,1381.83,-1.0
171,-1,776,0,0.0,1383.95,-1.0,0.0,1383.95,-1.0
