,QL with Constant Epsilon Overall_Accuracy,QL with Constant Epsilon Overall_Steps,QL with Constant Epsilon Overall_Reward
0,0,5,-1
1,0,5,-1
2,0,3.666666667,-1
3,0,7.75,-1
4,0,11.4,-1
5,0.166666667,10.66666667,-0.666666667
6,0.142857143,10,-0.714285714
7,0.125,9.5,-0.75
8,0.111111111,9.555555556,-0.777777778
9,0.1,9.7,-0.8
10,0.090909091,11.81818182,-0.818181818
11,0.166666667,11.33333333,-0.666666667
12,0.153846154,10.76923077,-0.692307692
13,0.214285714,10.92857143,-0.571428571
14,0.266666667,11.46666667,-0.466666667
15,0.3125,11.4375,-0.375
16,0.352941176,11.11764706,-0.294117647
17,0.388888889,11.16666667,-0.222222222
18,0.421052632,11.26315789,-0.157894737
19,0.45,10.95,-0.1
20,0.476190476,10.71428571,-0.047619048
21,0.5,10.68181818,0
22,0.52173913,10.43478261,0.043478261
23,0.541666667,10.20833333,0.083333333
24,0.56,10.04,0.12
25,0.538461538,9.692307692,0.076923077
26,0.555555556,9.518518519,0.111111111
27,0.571428571,9.357142857,0.142857143
28,0.551724138,9.137931034,0.103448276
29,0.566666667,9,0.133333333
30,0.580645161,8.870967742,0.161290323
31,0.59375,8.75,0.1875
32,0.606060606,8.787878788,0.212121212
33,0.617647059,8.676470588,0.235294118
34,0.628571429,8.571428571,0.257142857
35,0.638888889,8.472222222,0.277777778
36,0.648648649,8.378378378,0.297297297
37,0.657894737,8.289473684,0.315789474
38,0.641025641,8.179487179,0.282051282
39,0.65,8.2,0.3
40,0.658536585,8.146341463,0.317073171
41,0.666666667,8.071428571,0.333333333
42,0.674418605,8,0.348837209
43,0.681818182,7.931818182,0.363636364
44,0.688888889,7.888888889,0.377777778
45,0.695652174,7.826086957,0.391304348
46,0.70212766,7.787234043,0.404255319
47,0.708333333,7.729166667,0.416666667
48,0.714285714,7.673469388,0.428571429
49,0.72,7.62,0.44
50,0.725490196,7.568627451,0.450980392
51,0.730769231,7.519230769,0.461538462
52,0.735849057,7.471698113,0.471698113
53,0.740740741,7.425925926,0.481481481
54,0.745454545,7.4,0.490909091
55,0.75,7.357142857,0.5
56,0.754385965,7.315789474,0.50877193
57,0.75862069,7.275862069,0.517241379
58,0.762711864,7.237288136,0.525423729
59,0.766666667,7.233333333,0.533333333
60,0.770491803,7.196721311,0.540983607
61,0.774193548,7.161290323,0.548387097
62,0.777777778,7.126984127,0.555555556
63,0.78125,7.09375,0.5625
64,0.784615385,7.061538462,0.569230769
65,0.787878788,7.03030303,0.575757576
66,0.791044776,7.014925373,0.582089552
67,0.794117647,6.985294118,0.588235294
68,0.797101449,6.956521739,0.594202899
69,0.8,6.928571429,0.6
70,0.802816901,6.943661972,0.605633803
71,0.805555556,6.916666667,0.611111111
72,0.808219178,6.904109589,0.616438356
73,0.797297297,6.824324324,0.594594595
74,0.786666667,6.746666667,0.573333333
