,SARSA_Rewards1,SARSA_noSteps1,SARSA_Accuracy1,SARSA_Rewards2,SARSA_noSteps2,SARSA_Accuracy2,SARSA_Rewards3,SARSA_noSteps3,SARSA_Accuracy3,SARSA_Rewards4,SARSA_noSteps4,SARSA_Accuracy4,SARSA_Rewards5,SARSA_noSteps5,SARSA_Accuracy5,Moving_Average_Accuracy1,Moving_Average_Step1,Moving_Average_Reward1,Moving_Average_Accuracy2,Moving_Average_Step2,Moving_Average_Reward2,Moving_Average_Accuracy3,Moving_Average_Step3,Moving_Average_Reward3,Moving_Average_Accuracy4,Moving_Average_Step4,Moving_Average_Reward4,Moving_Average_Accuracy5,Moving_Average_Step5,Moving_Average_Reward5,Overall_Accuracy,Overall_Steps,Overall_Reward
0,-1,61,0,-1,191,0,-1,115,0,-1,25,0,-1,7,0,0.0,61.0,-1.0,0.0,191.0,-1.0,0.0,115.0,-1.0,0.0,25.0,-1.0,0.0,7.0,-1.0,0.0,79.8,-1.0
1,-1,68,0,-1,21,0,-1,51,0,-1,24,0,-1,37,0,0.0,64.5,-1.0,0.0,106.0,-1.0,0.0,83.0,-1.0,0.0,24.5,-1.0,0.0,22.0,-1.0,0.0,60.0,-1.0
2,-1,10,0,-1,41,0,-1,51,0,-1,229,0,-1,155,0,0.0,46.333333333333336,-1.0,0.0,84.33333333333333,-1.0,0.0,72.33333333333333,-1.0,0.0,92.66666666666667,-1.0,0.0,66.33333333333333,-1.0,0.0,72.4,-1.0
3,-1,6,0,-1,60,0,-1,110,0,-1,48,0,-1,165,0,0.0,36.25,-1.0,0.0,78.25,-1.0,0.0,81.75,-1.0,0.0,81.5,-1.0,0.0,91.0,-1.0,0.0,73.75,-1.0
4,-1,19,0,-1,55,0,-1,65,0,-1,44,0,-1,19,0,0.0,32.8,-1.0,0.0,73.6,-1.0,0.0,78.4,-1.0,0.0,74.0,-1.0,0.0,76.6,-1.0,0.0,67.08,-1.0
5,-1,8,0,-1,4,0,-1,138,0,-1,35,0,-1,272,0,0.0,28.666666666666668,-1.0,0.0,62.0,-1.0,0.0,88.33333333333333,-1.0,0.0,67.5,-1.0,0.0,109.16666666666667,-1.0,0.0,71.13333333333334,-1.0
6,-1,74,0,-1,74,0,-1,21,0,-1,38,0,-1,60,0,0.0,35.142857142857146,-1.0,0.0,63.714285714285715,-1.0,0.0,78.71428571428571,-1.0,0.0,63.285714285714285,-1.0,0.0,102.14285714285714,-1.0,0.0,68.6,-1.0
7,-1,1,0,-1,259,0,-1,146,0,-1,44,0,1,198,1,0.0,30.875,-1.0,0.0,88.125,-1.0,0.0,87.125,-1.0,0.0,60.875,-1.0,0.125,114.125,-0.75,0.025,76.225,-0.95
8,-1,18,0,-1,5,0,-1,96,0,-1,33,0,1,28,1,0.0,29.444444444444443,-1.0,0.0,78.88888888888889,-1.0,0.0,88.11111111111111,-1.0,0.0,57.77777777777778,-1.0,0.2222222222222222,104.55555555555556,-0.5555555555555556,0.04444444444444444,71.75555555555556,-0.9111111111111111
9,-1,17,0,-1,29,0,-1,16,0,-1,51,0,1,106,1,0.0,28.2,-1.0,0.0,73.9,-1.0,0.0,80.9,-1.0,0.0,57.1,-1.0,0.3,104.7,-0.4,0.06,68.96000000000001,-0.8800000000000001
10,-1,65,0,-1,22,0,-1,40,0,-1,3,0,-1,11,0,0.0,31.545454545454547,-1.0,0.0,69.18181818181819,-1.0,0.0,77.18181818181819,-1.0,0.0,52.18181818181818,-1.0,0.2727272727272727,96.18181818181819,-0.45454545454545453,0.05454545454545454,65.25454545454546,-0.8909090909090909
