,SARSA_Rewards1,SARSA_noSteps1,SARSA_Accuracy1,SARSA_Rewards2,SARSA_noSteps2,SARSA_Accuracy2,SARSA_Rewards3,SARSA_noSteps3,SARSA_Accuracy3,SARSA_Rewards4,SARSA_noSteps4,SARSA_Accuracy4,SARSA_Rewards5,SARSA_noSteps5,SARSA_Accuracy5,Moving_Average_Accuracy1,Moving_Average_Step1,Moving_Average_Reward1,Moving_Average_Accuracy2,Moving_Average_Step2,Moving_Average_Reward2,Moving_Average_Accuracy3,Moving_Average_Step3,Moving_Average_Reward3,Moving_Average_Accuracy4,Moving_Average_Step4,Moving_Average_Reward4,Moving_Average_Accuracy5,Moving_Average_Step5,Moving_Average_Reward5,Overall_Accuracy,Overall_Steps,Overall_Reward
0,1,15,1,0,50000,0,0,50000,0,0,50000,0,0,50000,0,1.0,15.0,1.0,0.0,50000.0,0.0,0.0,50000.0,0.0,0.0,50000.0,0.0,0.0,50000.0,0.0,0.2,40003.0,0.2
1,-1,29,0,-1,4,0,-1,6,0,-1,8,0,-1,1,0,0.5,22.0,0.0,0.0,25002.0,-0.5,0.0,25003.0,-0.5,0.0,25004.0,-0.5,0.0,25000.5,-0.5,0.1,20006.3,-0.4
2,-1,20,0,-1,25,0,-1,6,0,-1,66,0,-1,19,0,0.3333333333333333,21.333333333333332,-0.3333333333333333,0.0,16676.333333333332,-0.6666666666666666,0.0,16670.666666666668,-0.6666666666666666,0.0,16691.333333333332,-0.6666666666666666,0.0,16673.333333333332,-0.6666666666666666,0.06666666666666667,13346.599999999997,-0.5999999999999999
3,-1,33,0,-1,52,0,-1,52,0,-1,33,0,-1,30,0,0.25,24.25,-0.5,0.0,12520.25,-0.75,0.0,12516.0,-0.75,0.0,12526.75,-0.75,0.0,12512.5,-0.75,0.05,10019.95,-0.7
4,-1,12,0,-1,47,0,-1,5,0,-1,11,0,-1,33,0,0.2,21.8,-0.6,0.0,10025.6,-0.8,0.0,10013.8,-0.8,0.0,10023.6,-0.8,0.0,10016.6,-0.8,0.04,8020.279999999999,-0.76
5,-1,119,0,-1,54,0,-1,19,0,-1,30,0,-1,7,0,0.16666666666666666,38.0,-0.6666666666666666,0.0,8363.666666666666,-0.8333333333333334,0.0,8348.0,-0.8333333333333334,0.0,8358.0,-0.8333333333333334,0.0,8348.333333333334,-0.8333333333333334,0.03333333333333333,6691.2,-0.8
6,-1,26,0,-1,21,0,-1,72,0,-1,33,0,-1,79,0,0.14285714285714285,36.285714285714285,-0.7142857142857143,0.0,7171.857142857143,-0.8571428571428571,0.0,7165.714285714285,-0.8571428571428571,0.0,7168.714285714285,-0.8571428571428571,0.0,7167.0,-0.8571428571428571,0.02857142857142857,5741.914285714285,-0.8285714285714285
7,-1,48,0,-1,64,0,-1,20,0,-1,22,0,-1,14,0,0.125,37.75,-0.75,0.0,6283.375,-0.875,0.0,6272.5,-0.875,0.0,6275.375,-0.875,0.0,6272.875,-0.875,0.025,5028.375,-0.85
8,-1,29,0,-1,40,0,-1,7,0,-1,316,0,-1,6,0,0.1111111111111111,36.77777777777778,-0.7777777777777778,0.0,5589.666666666667,-0.8888888888888888,0.0,5576.333333333333,-0.8888888888888888,0.0,5613.222222222223,-0.8888888888888888,0.0,5576.555555555556,-0.8888888888888888,0.02222222222222222,4478.511111111111,-0.8666666666666666
9,-1,39,0,-1,25,0,-1,31,0,-1,48,0,1,40,1,0.1,37.0,-0.8,0.0,5033.2,-0.9,0.0,5021.8,-0.9,0.0,5056.7,-0.9,0.1,5022.9,-0.7,0.04,4034.3199999999997,-0.8400000000000001
